MUESTRA,ID,FECHA,CP,C.A,ORIGEN,EDAD,PERRO/GATO,nº ESPECIES,RESULTADO,ESPECIE 1,ESPECIE 2,ESPECIE 3,ESTACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,10565391,4/11/17,28220,,ZZZZ,7,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,10565889,4/11/17,48010,PAÍS VASCO,ZZZZ,3,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,10576031,4/11/17,27400,GALICIA,ZZZZ,11,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,10578413,4/11/17,28045,,M,NC,1,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,10578415,4/11/17,46980,VALENCIA,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,10578420,4/11/17,41710,ANDALUCIA,M,NC,1,1,"> 100.000 UFC/ml Pseudomonas aeruginosa


",Pseudomonas,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,10578422,4/11/17,08034,CATALUÑA,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,10578427,4/11/17,08034,CATALUÑA,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,10578432,4/11/17,08036,CATALUÑA,M,NC,1,1,"> 100.000 UFC/ml Klebsiella pneumoniae ssp pneumoniae



",Klebsiella,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,10578436,4/11/17,08034,CATALUÑA,M,NC,2,1,"> 100.000 UFC/ml Enterococcus faecalis


",Enterococcus,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,10578444,4/11/17,48902,PAÍS VASCO,M,NC,2,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,10578446,4/11/17,28703,,M,NC,1,1,"> 100.000 UFC/ml Proteus mirabilis


",Proteus,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,10578452,4/11/17,07008,BALEARES,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,10578465,4/11/17,15200,GALICIA,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,10578466,4/11/17,28011,,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,10578471,4/11/17,28011,,M,NC,2,1," > 100.000 UFC/ml Acinetobacter spp.



",Acinetobacter,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,10578504,4/11/17,03006,VALENCIA,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,10578540,4/11/17,27002,GALICIA,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,10578589,4/11/17,45005,C. LA MANCHA,M,NC,1,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,10582974,4/11/17,52006,CEUTA/MELILLA,ZZZZ,NC,1,2," > 100.000 UFC/ml Enterococcus faecalis
20.000 UFC/ml Pseudomonas luteola



",Enterococcus,Pseudomonas,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,10588120,4/11/17,08930,CATALUÑA,ZZZZ,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,10591485,4/11/17,07004,BALEARES,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,10647817,4/11/17,08850,CATALUÑA,MD,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,10647895,4/11/17,28047,,MD,NC,2,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,10658601,4/11/17,28047,,ZZZZ,12,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,10658696,4/11/17,28932,,ZZZZ,3,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,10658699,4/11/17,28932,,ZZZZ,11,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,10672399,4/11/17,28932,,ZZZZ,10,1,1,"> 100.000 UFC/ml Streptococcus sanguinis



",Streptococcus,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,923729,4/11/17,08328,CATALUÑA,ZZZZ,1,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,10023139,4/12/17,04005,ANDALUCIA,ZZZZ,10,1,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,10269654,4/12/17,46701,VALENCIA,ZZZZ,12,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,10389419,4/12/17,47008,C. LEÓN,ZZZZ,0,2,1,"30.000 UFC/ml Staphylococcus coagulasa negativa



",Staphylococcus,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,10449766,4/12/17,08193,CATALUÑA,ZZZZ,11,1,1,"30.000 UFC/ml Escherichia coli


",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,10468104,4/12/17,28430,,ZZZZ,11,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,10516369,4/12/17,46115,VALENCIA,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,10517974,4/12/17,03130,VALENCIA,M,NC,1,1,"> 100.000 UFC/ml Streptococcus canis



",Streptococcus,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,10521100,4/12/17,16003,C. LA MANCHA,ZZZZ,5,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,10521627,4/12/17,13005,C. LA MANCHA,ZZZZ,0,1,1,"20.000 UFC/ml Escherichia coli


",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,10536095,4/12/17,07011,BALEARES,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,10561958,4/12/17,46920,VALENCIA,ZZZZ,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,10578101,4/12/17,33010,ASTURIAS,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,10578118,4/12/17,28600,,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,10578122,4/12/17,12580,VALENCIA,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,10578123,4/12/17,03690,VALENCIA,M,NC,1,1,"> 100.000 UFC/ml Streptococcus canis



",Streptococcus,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,10578129,4/12/17,11540,ANDALUCIA,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,10578134,4/12/17,27400,GALICIA,M,NC,2,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,10578138,4/12/17,07010,BALEARES,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,10578144,4/12/17,48600,PAÍS VASCO,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,10578149,4/12/17,31192,NAVARRA,M,NC,1,1,"> 100.000 UFC/ml Pseudomonas spp.


",Pseudomonas,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,10578226,4/12/17,42003,C. LEÓN,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,10578229,4/12/17,07210,BALEARES,M,NC,1,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,10578486,4/12/17,29660,ANDALUCIA,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,10578491,4/12/17,48860,PAÍS VASCO,M,NC,1,1,"80.000 UFC/ml Streptococcus canis

",Streptococcus,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,10578492,4/12/17,28047,,M,NC,1,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,10578493,4/12/17,28931,,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,10578494,4/12/17,08011,CATALUÑA,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,10578499,4/12/17,41210,ANDALUCIA,M,NC,2,1,"r 20.000 UFC/ml Achromobacter xylosoxidans


",Achromobacter,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,10591484,4/12/17,08850,CATALUÑA,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,10663698,4/12/17,08027,CATALUÑA,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,10664889,4/12/17,08026,CATALUÑA,M,NC,1,1,"> 100.000 UFC/ml Proteus mirabilis


",Proteus,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,10671616,4/12/17,28820,,ZZZZ,7,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,10699757,4/12/17,07730,BALEARES,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,10699773,4/12/17,08013,CATALUÑA,T,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,10119985,4/13/17,28051,,ZZZZ,9,1,1,"> 100.000 UFC/ml Staphylococcus pseudintermedius


",Staphylococcus,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,10196491,4/13/17,08031,CATALUÑA,ZZZZ,NC,1,1,"30.000 UFC/ml Escherichia coli


",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,10388643,4/13/17,28693,,M,NC,1,1,"> 100.000 UFC/ml Klebsiella pneumoniae ssp pneumoniae



",Klebsiella,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,10425212,4/13/17,08980,CATALUÑA,T,NC,1,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,10429833,4/13/17,08319,CATALUÑA,ZZZZ,5,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,10446928,4/13/17,08028,CATALUÑA,ZZZZ,11,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,10482399,4/13/17,43820,CATALUÑA,ZZZZ,5,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,10578162,4/13/17,07300,BALEARES,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,10578170,4/13/17,27002,GALICIA,T,NC,1,1," 60.000 UFC/ml Escherichia coli


",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,10578172,4/13/17,11300,ANDALUCIA,T,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,10578178,4/13/17,08340,CATALUÑA,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,10578180,4/13/17,50410,ARAGON,M,NC,1,1,"10.000 UFC/ml Escherichia coli



",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,10578189,4/13/17,46008,VALENCIA,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,10578193,4/13/17,46980,VALENCIA,M,NC,1,1,"> 100.000 UFC/ml Pseudomonas aeruginosa


",Pseudomonas,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,10582970,4/13/17,08930,CATALUÑA,ZZZZ,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,10585276,4/13/17,29649,ANDALUCIA,ZZZZ,8,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,10657142,4/13/17,08181,CATALUÑA,T,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,10657143,4/13/17,08016,CATALUÑA,T,NC,1,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,10699795,4/13/17,08034,CATALUÑA,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,10700200,4/13/17,08034,CATALUÑA,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,10196489,4/15/17,08031,CATALUÑA,ZZZZ,17,1,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,10491755,4/15/17,08812,CATALUÑA,M,NC,1,1,"20.000 UFC/ml Enterococcus casseliflavus



",Enterococcus,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,10578197,4/15/17,08720,CATALUÑA,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,10578199,4/15/17,08036,CATALUÑA,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,10499088,4/17/17,28031,,ZZZZ,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,10687230,4/17/17,28670,,MD,NC,1,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,10181235,4/18/17,28702,,ZZZZ,1,2,1,"5.000 UFC/ml Escherichia coli


",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,10341304,4/18/17,28018,,MD,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,10484238,4/18/17,11406,ANDALUCIA,ZZZZ,13,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,10499675,4/18/17,28140,,T,8,1,1,"20.000 UFC/ml Escherichia coli


",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,10563128,4/18/17,28053,,ZZZZ,7,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,10581055,4/18/17,28223,,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,10665714,4/18/17,28660,,ZZZZ,2,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,10687250,4/18/17,28300,,ZZZZ,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,10687251,4/18/17,28300,,ZZZZ,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,10687413,4/18/17,28702,,MD,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,10687423,4/18/17,19001,C. LA MANCHA,T,NC,1,1,"> 100.000 UFC/ml Staphylococcus aureus


",Staphylococcus,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,10687429,4/18/17,28770,,T,NC,1,1,"50.000 UFC/ml Streptococcus dysgalactiae


",Streptococcus,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,10697900,4/18/17,29660,ANDALUCIA,M,NC,1,1,"10.000 UFC/ml Streptococcus dysgalactiae


",Streptococcus,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,10697903,4/18/17,N/A,N/A,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,10697907,4/18/17,28931,,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,10697912,4/18/17,33006,ASTURIAS,M,NC,1,1,"> 100.000 UFC/ml Klebsiella pneumoniae ssp pneumoniae



",Klebsiella,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,10697913,4/18/17,27002,GALICIA,M,NC,1,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,10697914,4/18/17,33006,ASTURIAS,M,NC,1,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,10697916,4/18/17,28931,,M,NC,1,1,"5.000 UFC/ml Escherichia coli


",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,10697919,4/18/17,50410,ARAGON,ZZZZ,11,2,1,"30.000 UFC/ml Staphylococcus pseudintermedius



",Staphylococcus,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,10700148,4/18/17,28342,,M,NC,2,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,10121972,4/19/17,09500,C. LEÓN,ZZZZ,1,1,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
